niv_outturn_ve_long_gb_mw
1909.2
1037.76
753.39
707.73
471.38
-2.99
-698.81
-644.7
-494.08
-316.81
-286.23
-354.16
-304.12
1507.43
2836.75
3737.73
3542.26
2593.86
1844.59
813.83
-296.51
-1091.58
-1304.18
-1019.86
-549.24
10.1
87.21
557.59
472.16
916.49
1520.49
1540.03
600.45
378.59
148.49
-360.61
-207.27
84.44
856.72
1569.77
1411.38
1437.09
892.56
713.6
931.23
243.0
-335.21
-412.98
-320.84
-254.57
-246.56
-103.89
66.08
218.83
110.26
-450.01
-414.98
-186.17
-125.05
166.47
-109.25
506.99
1128.9
1653.98
2137.08
1607.92
1140.01
893.73
1061.4
1054.13
1261.3
1156.29
184.29
178.07
450.68
559.2
209.26
-76.02
50.78
-42.03
637.15
-123.88
-362.79
-544.34
-420.91
398.06
320.58
791.59
78.1
584.52
111.75
22.17
648.85
1193.39
1235.62
748.22
359.9
-29.56
512.67
727.17
632.4
325.52
681.21
320.3
155.47
363.94
482.87
587.6
1085.29
1945.27
2355.39
2669.65
1200.03
1292.09
953.71
441.65
188.12
-817.91
-1618.82
-1028.49
-145.99
695.54
419.92
462.69
15.8
104.06
1194.97
1591.1
1497.43
390.96
-110.33
-195.4
-167.94
378.26
607.08
121.71
284.77
308.7
-113.34
491.03
436.01
220.59
542.08
-236.67
-225.45
-133.4
25.13
130.85
165.29
265.63
413.98
375.05
118.06
80.83
-45.29
559.37
1390.55
1836.45
3145.04
2397.73
1322.55
842.83
-13.2
162.28
610.09
542.65
547.07
470.72
-31.24
97.85
-38.37
-141.4
-182.12
227.84
847.95
65.31
-711.9
-1374.5
-1683.82
-1082.22
-94.81
517.43
-197.54
-316.33
-611.12
-289.82
-734.41
-285.41
-137.69
-171.87
-322.79
-65.55
322.33
312.43
76.86
19.1
-197.62
295.03
-551.7
71.91
26.83
520.79
757.37
927.83
188.45
-133.11
599.8
1126.5
720.1
516.85
641.69
884.78
503.89
454.69
91.58
244.12
-406.9
-27.19
307.35
746.22
523.25
171.25
-276.49
588.38
414.52
-975.98
-1438.53
-1441.19
-961.38
-572.15
193.16
882.19
659.1
-165.39
-333.05
-362.6
-505.85
-662.45
-520.43
-63.81
557.39
689.52
304.72
168.12
156.92
-377.27
-194.38
-266.82
-370.4
-105.12
281.9
662.54
701.17
520.73
317.23
413.86
373.89
283.04
448.87
272.71
-90.05
-190.76
-248.22
363.08
997.25
1701.53
1179.61
758.03
619.1
359.65
145.43
518.34
324.56
-937.05
-1157.06
-1199.21
-499.86
66.44
-216.77
-404.63
-895.99
-362.26
-491.71
-81.42
348.02
1194.94
714.59
182.11
-308.59
-339.75
-251.18
325.54
530.06
820.34
781.38
395.62
433.46
565.17
491.8
734.93
-259.27
-536.21
-101.57
-115.38
-218.87
-172.33
-837.23
-1249.11
-1051.77
-1006.98
-601.17
-514.35
-810.32
-1108.88
-2003.14
-2113.52
-1957.65
-913.67
-126.67
-187.08
38.08
778.72
1644.08
2264.94
2238.13
882.92
-398.16
-575.96
-238.86
465.96
92.59
233.9
75.58
336.36
699.82
305.04
-55.05
-485.97
-214.82
-19.88
-35.62
-327.09
-422.82
-601.69
-531.12
-272.47
7.75
304.13
348.78
631.88
27.62
61.16
28.59
97.22
-355.2
-435.19
-298.06
-351.78
-356.38
-467.16
-637.31
-684.32
-497.21
-151.53
-158.83
503.84
585.1
216.21
473.87
783.39
864.7
807.72
-10.79
-251.12
-100.28
-716.77
-693.5
-214.46
-698.21
197.83
356.35
154.76
107.19
127.99
565.81
245.28
42.94
-65.61
-216.99
-50.67
295.69
127.56
-181.75
-593.43
-585.44
-58.69
-163.71
-83.67
-81.68
-495.56
-473.29
470.22
593.13
891.74
1465.86
1342.3
1149.8
1238.3
873.72
490.85
184.63
790.62
1463.67
1297.34
1352.52
1101.79
2199.61
1345.54
1312.67
1620.69
1389.1
995.06
745.32
947.25
108.28
542.52
532.43
341.46
699.96
1461.46
1309.34
276.21
253.0
373.82
863.68
1297.3
1082.72
529.66
678.77
821.35
672.7
390.59
632.75
540.58
768.46
548.79
460.43
732.51
840.68
555.7
70.81
-202.12
-556.17
-479.65
-197.37
-148.88
-330.32
-32.14
-81.72
-81.88
-58.72
0.65
-16.65
